EcoID,Crop,CommonName,SearchScientName,ScientNameClean,Family,MonfredaFileName,MonfredaCropName,Search,GROUP,TOPMN,TOPMX,TMIN,TMAX,ROPMN,ROPMX,RMIN,RMAX,KTMP,GMIN,GMAX,Comment,Selected
289,okra,"Okra, lady fingers",Abelmoschus,Abelmoschus esculentus,Malvaceae,okra,Okra,okra,oil crops,20,30,12,35,600,1200,300,2500,0,50,180,,0
367,garlic,Garlic,Allium,Allium sativum,Alliaceae,garlic,Garlic,garlic,vegetables,18,30,7,35,750,1600,500,2700,-5,90,120,,0
401,cashewapple,Cashew,Anacardium,Anacardium occidentale,Anacardiaceae,cashewapple,Cashew Apple,cashew,tree nuts,15,35,5,46,750,1600,400,4000,0,190,260,,0
402,pineapple,Pineapple,Ananas,Ananas comosus,Bromeliaceae,pineapple,Pineapples,pineapple,fruit,21,30,10,36,800,2500,550,3500,0,330,365,,0
468,asparagus,Asparagus,Asparagus,Asparagus officinalis,Liliaceae,asparagus,Asparagus,asparagus,vegetables,15,30,6,38,800,1200,500,4000,-1,210,270,,0
481,oats,Oats,Avena,Avena sativa,Gramineae,oats,Oats,oat,cereals,16,20,5,30,600,1000,250,1500,-1,110,270,,0
514,sugarbeet,Sugar beet,Beta,Beta vulgaris,Chenopodiaceae,sugarbeet,Sugar Beets,sugarbeet,sugar crops,15,25,4,35,600,800,500,1000,0,160,240,,0
549,rapeseed,Swede rap,Brassica,Brassica napus,Brassicaceae,rapeseed,Rapeseed,rapeseed,oil crops,15,25,5,41,500,1000,400,2800,-6,85,340,,0
550,mustard,"Mustard, Black",Brassica,Brassica nigra,Brassicaceae,mustard,Mustard Seed,mustard,oil crops,10,25,5,27,600,1400,300,2500,-1,120,180,,0
551,onion,Onion,Allium,Allium cepa var. cepa,Alliaceae,onion,"Onions, Green",onion,vegetables,12,25,4,30,350,600,300,2800,0,85,175,,0
553,cauliflower,Cauliflower,Brassica,Brassica oleracea var. botrytis,Brassicaceae,cauliflower,Cauliflower,cauliflower,vegetables,10,25,5,30,600,1100,450,1900,-5,60,120,,0
554,cabbage,Cabbage,Brassica,Brassica oleracea var. capitata,Brassicaceae,cabbage,Cabbages,cabbage,vegetables,15,24,7,32,500,1000,300,2500,-1,60,200,,0
576,pigeonpea,Pigeon Pea,Cajanus,Cajanus cajan,Fabaceae,pigeonpea,Pigeon Peas,pigeon pea,pulses,18,38,10,45,600,1500,400,4000,0,90,365,,1
599,tea,Tea,Camellia,Camellia sinensis,Theaceae,tea,Tea,tea,other,20,30,8,35,1400,2000,1000,5000,0,240,365,,0
630,papaya,Papaya,Carica,Carica papaya,Caricaceae,papaya,Papayas,papaya,fruit,21,30,12,44,1500,2500,1000,3000,-1,330,365,,0
694,chicory,Chicory,Cichorium,Cichorium intybus,Compositae,chicory,Chicory Roots,chicory,other,10,30,6,35,1500,2500,300,4000,-1,90,330,,0
702,cinnamon,Cinnamon,Cinnamomum,Cinnamomum verum,Lauraceae,cinnamon,Cinnamon (Canella),cinnamon,other,24,30,18,36,2000,2600,1200,3000,0,300,365,,0
708,watermelon,Watermelon,Citrullus,Citrullus lanatus,Cucurbitaceae,watermelon,Watermelons,watermelon,vegetables,20,35,15,40,500,700,400,1800,0,80,160,,0
714,lemonlime,Lemon,Citrus,Citrus limon,Rutaceae,lemonlime,Lemons and Limes,lemon,fruit,15,28,12,36,1000,2300,300,4000,-2,210,365,,0
717,grapefruitetc,Grapefruit,Citrus,Citrus paradisi,Rutaceae,grapefruitetc,Grapefruit and Pomelos,grapefruit,fruit,18,32,13,42,1500,2300,300,4000,0,60,365,,0
720,orange,Sweet orange,Citrus,Citrus sinensis,Rutaceae,orange,Oranges,orange,fruit,20,30,13,38,1200,2000,450,2700,0,180,365,,0
744,coconut,Coconut,Cocos,Cocos nucifera,Palmaceae,coconut,Coconuts,coconut,oil crops,22,34,14,38,1200,2400,650,4000,0,270,365,,0
749,coffee arabica,Coffee arabica,Coffea,Coffea arabica,Rubiaceae,coffee,"Coffee, Green",coffee,other,14,28,10,34,1400,2300,750,4200,0,210,330,,0
750,coffee robusta,Coffea canephora,Coffea,Coffea canephora,Rubiaceae,coffee,"Coffee, Green",coffee,other,20,30,12,36,1700,3000,900,4000,5,270,300,,0
758,taro,Cocoyam,Colocasia,Colocasia esculenta,Araceae,taro,Taro (Coco Yam),taro,roots and tubers,21,28,10,35,1800,2700,1000,4100,0,180,300,,0
815,melonetc,Musk melon,Cucumis,Cucumis melo,Cucurbitaceae,melonetc,Cantaloupes&oth Melons,melon,vegetables,18,30,9,35,1000,1300,900,2500,0,50,120,,0
817,cucumberetc,Cucumber,Cucumis,Cucumis sativus,Cucurbitaceae,cucumberetc,Cucumbers and Gherkins,cucumber,vegetables,18,32,6,38,1000,1200,400,4300,0,40,180,,0
820,pumpkinetc,Pumpkin,Cucurbita,Cucurbita moschata,Cucurbitaceae,pumpkinetc,"Pumpkins, Squash, Gourds",pumpkin,vegetables,20,30,10,40,600,1600,300,2800,0,80,140,,0
847,artichoke,Artichoke,Cynara,Cynara scolymus,Asteraceae,artichoke,Artichoke,artichoke,vegetables,15,25,5,30,900,1200,300,1500,0,210,270,,0
871,carrot,Carrot,Daucus,Daucus carota,Umbelliferae,carrot,Carrots,carrot,vegetables,15,24,3,30,600,1200,400,4000,0,40,150,,0
889,kiwi,Kiwifruit,Actinidia,Actinidia chinensis,Actinidiaceae,kiwi,Kiwi Fruit,kiwi,fruit,21,30,8,35,900,1300,700,1500,-1,210,330,,0
942,yam,White yam,Dioscorea,Dioscorea rotundata,Dioscoreaceae,yam,Yams,yam,roots and tubers,25,32,15,38,1000,1500,800,3000,9,180,300,,0
945,persimmon,Persimmon,Diospyros,Diospyros kaki,Ebenaceae,persimmon,Persimmons,persimmon,fruit,20,31,8,35,1000,1700,300,3000,0,150,270,,0
972,oilpalm,African oil palm,Elaeis,Elaeis guineensis,Palmaceae,oilpalm,Oil Palm Fruit,oil palm,oil crops,20,35,12,38,1500,3000,1000,8000,0,300,365,,0
1071,fig,Common fig,Ficus,Ficus carica,Moraceae,fig,Figs,fig,fruit,16,26,4,38,700,1500,300,2700,-1,120,300,,0
1107,aniseetc,Fennel,Foeniculum,Foeniculum vulgare,Dilleniaceae,aniseetc,fennel,fennel,other,15,25,6,32,700,1500,300,2600,-2,30,110,,0
1112,strawberry,Garden strawberry,Fragaria,Fragaria x ananassa,Rosaceae,strawberry,Strawberries,strawberry,fruit,11,24,6,28,600,900,300,1700,0,180,270,,0
1150,soybean,Soyabean,Glycine,Glycine max,Fabaceae,soybean,Soybeans,soybean,oil crops,20,33,10,38,600,1500,450,1800,0,75,180,,0
1191,sunflower,Sunflower,Helianthus,Helianthus annuus,Compositae,sunflower,Sunflower Seed,sunflower,oil crops,17,34,5,45,600,1000,300,1600,0,70,200,,0
