"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
165845,"622","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Cowpea"
166091,"868","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Cowpea"
166296,"1073","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Cowpea"
166403,"1180","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Cowpea"
166405,"1182","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","Australia","AU","-25.75","152.25","YES","Gene Pool","Tertiary","Cowpea"
166491,"1268","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","Australia","AU","-17.08333333","145.4833333","YES","Gene Pool","Tertiary","Cowpea"
166492,"1269","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","Australia","AU","-17.08","145.48","YES","Gene Pool","Tertiary","Cowpea"
166615,"1392","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","Australia","AU","-25.73","150.67","YES","Gene Pool","Tertiary","Cowpea"
166628,"1405","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","Australia","AU","-25.73","150.67","YES","Gene Pool","Tertiary","Cowpea"
166630,"1407","Bioversity","G","\N","Vigna_vexillata","Fabaceae","Vigna","vexillata","\N","\N","\N","\N","Australia","AU","-17.43333333","145.2166667","YES","Gene Pool","Tertiary","Cowpea"
