"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
167062,"1839","Bioversity","G","native","Zea_diploperennis","Poaceae","Zea","diploperennis","\N","\N","\N","\N","Mexico","MX","19.6","-104.2833333","YES","Gene Pool","Secondary","Maize"
167121,"1898","Bioversity","G","native","Zea_diploperennis","Poaceae","Zea","diploperennis","\N","\N","\N","\N","Mexico","MX","19.58333333","-104.25","YES","Gene Pool","Secondary","Maize"
170867,"5644","Bioversity","G","native","Zea_luxurians","Poaceae","Zea","luxurians","\N","\N","\N","\N","United States","US","41.35","-81.85","YES","Gene Pool","Secondary","Maize"
171582,"6359","Bioversity","G","native","Zea_diploperennis","Poaceae","Zea","diploperennis","\N","\N","\N","\N","Mexico","MX","19.58333333","-104.25","YES","Gene Pool","Secondary","Maize"
173870,"8647","Bioversity","G","\N","Zea_mays_subsp._mexicana","Poaceae","Zea","mays","subsp.","mexicana","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Maize"
176945,"11722","Bioversity","G","native","Zea_diploperennis","Poaceae","Zea","diploperennis","\N","\N","\N","\N","Mexico","MX","19.58333333","-104.2833333","YES","Gene Pool","Secondary","Maize"
177079,"11856","Bioversity","G","native","Zea_nicaraguensis","Poaceae","Zea","nicaraguensis","\N","\N","\N","\N","Nicaragua","NI","12.88333333","-86.98333333","YES","Gene Pool","Secondary","Maize"
190468,"25245","Bioversity","G","\N","Zea_luxurians","Poaceae","Zea","luxurians","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Maize"
190469,"25246","Bioversity","G","\N","Zea_luxurians","Poaceae","Zea","luxurians","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Maize"
190470,"25247","Bioversity","G","\N","Zea_luxurians","Poaceae","Zea","luxurians","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Secondary","Maize"
741005,"615837","Bioversity-SINGER","G","native","Tripsacum_andersonii","Poaceae","Tripsacum","andersonii","\N","\N","\N","\N","Brazil","BR","-22.87","-46.07","YES","Gene Pool","Tertiary","Maize"
741006,"615838","Bioversity-SINGER","G","native","Tripsacum_andersonii","Poaceae","Tripsacum","andersonii","\N","\N","\N","\N","Peru","PE","-7.12","-76.62","YES","Gene Pool","Tertiary","Maize"
741007,"615839","Bioversity-SINGER","G","native","Tripsacum_andersonii","Poaceae","Tripsacum","andersonii","\N","\N","\N","\N","Ecuador","EC","-2.17","-79.9","YES","Gene Pool","Tertiary","Maize"
741008,"615840","Bioversity-SINGER","G","\N","Tripsacum_andersonii","Poaceae","Tripsacum","andersonii","\N","\N","\N","\N","Colombia","CO","3.1167","-76.65","YES","Gene Pool","Tertiary","Maize"
741009,"615841","Bioversity-SINGER","G","\N","Tripsacum_andersonii","Poaceae","Tripsacum","andersonii","\N","\N","\N","\N","Colombia","CO","5.3833","-76.6167","YES","Gene Pool","Tertiary","Maize"
741010,"615842","Bioversity-SINGER","G","native","Tripsacum_andersonii","Poaceae","Tripsacum","andersonii","\N","\N","\N","\N","Colombia","CO","7.12","-73.12","YES","Gene Pool","Tertiary","Maize"
741011,"615843","Bioversity-SINGER","G","native","Tripsacum_andersonii","Poaceae","Tripsacum","andersonii","\N","\N","\N","\N","Venezuela","VE","9.18","-70.33","YES","Gene Pool","Tertiary","Maize"
741012,"615844","Bioversity-SINGER","G","native","Tripsacum_andersonii","Poaceae","Tripsacum","andersonii","\N","\N","\N","\N","Honduras","HN","14.02","-87.01","YES","Gene Pool","Tertiary","Maize"
741013,"615845","Bioversity-SINGER","G","native","Tripsacum_australe_var._australe","Poaceae","Tripsacum","australe","var.","australe","\N","\N","Colombia","CO","\N","\N","NO","Gene Pool","Tertiary","Maize"
741014,"615846","Bioversity-SINGER","G","native","Tripsacum_australe_var._australe","Poaceae","Tripsacum","australe","var.","australe","\N","\N","Mexico","MX","18.111347","-95.584126","YES","Gene Pool","Tertiary","Maize"
741015,"615847","Bioversity-SINGER","G","native","Tripsacum_bravum","Poaceae","Tripsacum","bravum","\N","\N","\N","\N","Colombia","CO","6.02","-73.57","YES","Gene Pool","Tertiary","Maize"
741016,"615848","Bioversity-SINGER","G","native","Tripsacum_bravum","Poaceae","Tripsacum","bravum","\N","\N","\N","\N","Venezuela","VE","11.15","-72.016667","YES","Gene Pool","Tertiary","Maize"
