"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
165238,"15","Bioversity","G","\N","Sorghum_nitidum","Poaceae","Sorghum","nitidum","\N","\N","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Tertiary","Sorghum"
165245,"22","Bioversity","G","native","Sorghum_nitidum","Poaceae","Sorghum","nitidum","\N","\N","\N","\N","Australia","AU","-19.35","146.7833333","YES","Gene Pool","Tertiary","Sorghum"
165249,"26","Bioversity","G","native","Sorghum_nitidum","Poaceae","Sorghum","nitidum","\N","\N","\N","\N","Australia","AU","-19.4347","146.9464","YES","Gene Pool","Tertiary","Sorghum"
165260,"37","Bioversity","G","native","Sorghum_timorense","Poaceae","Sorghum","timorense","\N","\N","\N","\N","Australia","AU","-15.4889","128.8564","YES","Gene Pool","Tertiary","Sorghum"
165261,"38","Bioversity","G","native","Sorghum_stipoideum","Poaceae","Sorghum","stipoideum","\N","\N","\N","\N","Australia","AU","-15.6806","128.6633","YES","Gene Pool","Tertiary","Sorghum"
165271,"48","Bioversity","G","native","Sorghum_timorense","Poaceae","Sorghum","timorense","\N","\N","\N","\N","Australia","AU","-15.6338","130.0467","YES","Gene Pool","Tertiary","Sorghum"
165679,"456","Bioversity","G","\N","Sorghum_bicolor_subsp._verticilliflorum","Poaceae","Sorghum","bicolor","subsp.","verticilliflorum","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
165750,"527","Bioversity","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","nothosubsp.","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
165876,"653","Bioversity","G","\N","Sorghum_bicolor_nothosubsp._drummondii","Poaceae","Sorghum","bicolor","nothosubsp.","drummondii","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
165890,"667","Bioversity","G","\N","Sorghum_bicolor_subsp._verticilliflorum","Poaceae","Sorghum","bicolor","subsp.","verticilliflorum","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
165891,"668","Bioversity","G","\N","Sorghum_bicolor_subsp._verticilliflorum","Poaceae","Sorghum","bicolor","subsp.","verticilliflorum","\N","\N","\N","\N","\N","\N","NO","Gene Pool","Primary","Sorghum"
