"id","old_id","provider_institute_id","source","final_origin_stat","taxon_final","f_x1_family","f_x1_genus","f_x1_sp1","f_x1_rank1","f_x1_sp2","f_x1_rank2","f_x1_sp3","final_country","final_iso2","final_lat","final_lon","hascoord","concept_type","concept_level","Crop_Common_Name"
825925,"240630","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.1233","-16.5514","YES","Gene Pool","Secondary","Sweet potato"
825926,"240631","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.1233","-16.5514","YES","Gene Pool","Secondary","Sweet potato"
825927,"240632","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.1233","-16.5514","YES","Gene Pool","Secondary","Sweet potato"
825928,"240633","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.1803","-17.2669","YES","Gene Pool","Secondary","Sweet potato"
825929,"240634","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.2431","-16.4311","YES","Gene Pool","Secondary","Sweet potato"
825930,"240635","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.2433","-16.4472","YES","Gene Pool","Secondary","Sweet potato"
825931,"240636","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.2461","-16.4447","YES","Gene Pool","Secondary","Sweet potato"
825932,"240637","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.2586","-16.4244","YES","Gene Pool","Secondary","Sweet potato"
825933,"240638","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.2711","-16.4019","YES","Gene Pool","Secondary","Sweet potato"
825934,"240639","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.2711","-16.4019","YES","Gene Pool","Secondary","Sweet potato"
825935,"240640","Bioversity-ECPGR","G","\N","Ipomoea_batatas","Convolvulaceae","Ipomoea","batatas","\N","\N","\N","\N","Spain","ES","28.31","-16.8422","YES","Gene Pool","Secondary","Sweet potato"
