"Crop_Name","crop","ensemble","Latitude","Longitude","status","database_id","source_db","predictable","used"
"African rice","Rice (Africa-glaberrima)","others",7.08333,-5.01667,"G","africe_1","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K4",7.08333,-5.01667,"G","africe_2","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K2",7.08333,-5.01667,"G","africe_3","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",13.0215,5.22372,"G","africe_4","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",13.0215,5.22372,"G","africe_5","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",12.6479,4.35523,"G","africe_6","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",13.0215,5.22372,"G","africe_7","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_8","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_9","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",6.98333,-9.58333,"G","africe_10","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",6.98333,-9.58333,"G","africe_11","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_12","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K5",6.98333,-9.58333,"G","africe_14","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_15","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",6.18333,-9.76667,"G","africe_16","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",6.23333,-9.93333,"G","africe_18","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",6.23333,-9.91667,"G","africe_19","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.41667,-9.71667,"G","africe_20","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",8.36,-10.2068,"G","africe_21","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",6.43333,-10.7833,"G","africe_22","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K2",8.88333,9.5,"G","africe_23","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",10.4659,-10.9244,"G","africe_24","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",10.4659,-10.9244,"G","africe_25","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K2",10.4659,-10.9244,"G","africe_26","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",10.4659,-10.9244,"G","africe_27","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K5",10.4659,-10.9244,"G","africe_28","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K5",10.4659,-10.9244,"G","africe_29","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K5",-18.9919,30.1281,"G","africe_31","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K4",9.61667,-7.41667,"G","africe_32","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",12.7642,-15.6738,"G","africe_33","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",13.3845,4.35523,"G","africe_34","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",12.7642,-15.6738,"G","africe_35","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K4",12.481,4.26277,"G","africe_36","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",12.481,4.26277,"G","africe_37","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K2",13.0215,5.22372,"G","africe_38","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","K5",9.61667,-7.41667,"G","africe_40","africe",FALSE,TRUE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_41","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K5",8.36,-10.2068,"G","africe_42","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_43","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_44","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_45","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_47","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_48","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_50","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K5",8.36,-10.2068,"G","africe_51","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_53","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_54","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K5",8.36,-10.2068,"G","africe_55","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_56","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","K5",8.36,-10.2068,"G","africe_57","africe",FALSE,FALSE
"African rice","Rice (Africa-glaberrima)","others",8.36,-10.2068,"G","africe_58","africe",FALSE,FALSE
