"Crop_Name","crop","ensemble","Latitude","Longitude","status","database_id","source_db","predictable","used"
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15882","USDA",TRUE,TRUE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15883","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-23.58694444,-65.39888889,"G","CT-GF-UA_15884","USDA",TRUE,TRUE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15885","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15886","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-22.29055556,-64.69,"G","CT-GF-UA_15887","USDA",TRUE,TRUE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15888","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-22.26666667,-64.68333333,"G","CT-GF-UA_15889","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15890","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15891","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15892","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15893","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-22.3,-64.7,"G","CT-GF-UA_15894","USDA",TRUE,TRUE
"Common bean","Common bean","andean",-23.70388889,-65.53805556,"G","CT-GF-UA_15895","USDA",TRUE,TRUE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15896","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-22.26666667,-64.68333333,"G","CT-GF-UA_15897","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15898","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-22.31222222,-64.71722222,"G","CT-GF-UA_15899","USDA",TRUE,TRUE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15900","USDA",TRUE,FALSE
"Common bean","Common bean","andean",-23.65,-65.41666667,"G","CT-GF-UA_15901","USDA",TRUE,FALSE
