"Crop_Name","crop","ensemble","Latitude","Longitude","status","database_id","source_db","predictable","used"
"Maize","Maize","g4",7.294894,3.896963,"G","cimmyt_1859","cimmyt",FALSE,TRUE
"Maize","Maize","g4",0.825961,31.912121,"G","cimmyt_1860","cimmyt",FALSE,TRUE
"Maize","Maize","g1",29.039491,30.943639,"G","cimmyt_1871","cimmyt",FALSE,TRUE
"Maize","Maize","g2",-14.73333333,15.78333333,"G","cimmyt_4206","cimmyt",FALSE,TRUE
"Maize","Maize","g4",-1,15,"G","cimmyt_4696","cimmyt",FALSE,TRUE
"Maize","Maize","g2",9.18333333,40.81666667,"G","cimmyt_4730","cimmyt",FALSE,TRUE
"Maize","Maize","g3",12.65,-8,"G","cimmyt_7113","cimmyt",FALSE,TRUE
"Maize","Maize","g3",12.180404,-7.896588,"G","cimmyt_7114","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.581785,-7.555108,"G","cimmyt_7115","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.41666667,-7.48333333,"G","cimmyt_7117","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.303152,-7.774535,"G","cimmyt_7120","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.48333333,-7.48333333,"G","cimmyt_7121","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.137508,-8.208036,"G","cimmyt_7122","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.363485,-7.312725,"G","cimmyt_7123","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.4,-7.25,"G","cimmyt_7126","cimmyt",FALSE,TRUE
"Maize","Maize","g3",12.574761,-6.464339,"G","cimmyt_7127","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.650913,-6.228152,"G","cimmyt_7128","cimmyt",FALSE,TRUE
"Maize","Maize","g3",13.329828,-6.06367,"G","cimmyt_7136","cimmyt",FALSE,TRUE
"Maize","Maize","g3",12.603987,-6.847688,"G","cimmyt_7137","cimmyt",FALSE,TRUE
"Maize","Maize","g3",12.00012,-7.352121,"G","cimmyt_7138","cimmyt",FALSE,TRUE
"Maize","Maize","g3",12.78333333,-6.95,"G","cimmyt_7139","cimmyt",FALSE,TRUE
"Maize","Maize","g3",13.38172,-7.985377,"G","cimmyt_7140","cimmyt",FALSE,TRUE
"Maize","Maize","g3",13.58333333,-8.03333333,"G","cimmyt_7141","cimmyt",FALSE,TRUE
"Maize","Maize","g3",13.731011,-8.015894,"G","cimmyt_7142","cimmyt",FALSE,TRUE
"Maize","Maize","g3",14.030791,-8.077046,"G","cimmyt_7143","cimmyt",FALSE,TRUE
"Maize","Maize","g3",13.55,-7.45,"G","cimmyt_7144","cimmyt",FALSE,TRUE
"Maize","Maize","g3",12.86666667,-8.45,"G","cimmyt_7145","cimmyt",FALSE,TRUE
"Maize","Maize","g3",12.95321,-8.86624,"G","cimmyt_7147","cimmyt",FALSE,TRUE
"Maize","Maize","g1",33.45,-5.23333333,"G","cimmyt_8467","cimmyt",FALSE,TRUE
"Maize","Maize","g1",31.8,-7.08,"G","cimmyt_8468","cimmyt",FALSE,TRUE
"Maize","Maize","g1",33.365732,-4.722292,"G","cimmyt_8474","cimmyt",FALSE,TRUE
"Maize","Maize","g1",33.05,-3.99,"G","cimmyt_8489","cimmyt",FALSE,TRUE
"Maize","Maize","g1",32.68333333,-4.71666667,"G","cimmyt_8493","cimmyt",FALSE,TRUE
"Maize","Maize","g1",32.81,-4.95,"G","cimmyt_8495","cimmyt",FALSE,TRUE
"Maize","Maize","g1",32.936985,-5.675677,"G","cimmyt_8497","cimmyt",FALSE,TRUE
"Maize","Maize","g1",33.299903,-5.336855,"G","cimmyt_8505","cimmyt",FALSE,TRUE
"Maize","Maize","g1",33.536959,-5.111826,"G","cimmyt_8512","cimmyt",FALSE,TRUE
"Maize","Maize","g1",34.216253,-3.992012,"G","cimmyt_8513","cimmyt",FALSE,TRUE
"Maize","Maize","g1",32.76,-5.72,"G","cimmyt_8521","cimmyt",FALSE,TRUE
"Maize","Maize","g1",32.48,-5.91,"G","cimmyt_8523","cimmyt",FALSE,TRUE
"Maize","Maize","g1",31.87,-6.47,"G","cimmyt_8524","cimmyt",FALSE,TRUE
"Maize","Maize","g1",32.155178,-6.340513,"G","cimmyt_8525","cimmyt",FALSE,TRUE
"Maize","Maize","g1",32.10047,-7.044919,"G","cimmyt_8527","cimmyt",FALSE,TRUE
"Maize","Maize","g1",31.734411,-6.988588,"G","cimmyt_8528","cimmyt",FALSE,TRUE
"Maize","Maize","g1",31.25,-7.98,"G","cimmyt_8531","cimmyt",FALSE,TRUE
"Maize","Maize","g1",31.380519,-7.796859,"G","cimmyt_8533","cimmyt",FALSE,TRUE
"Maize","Maize","g1",31.56,-7.66,"G","cimmyt_8538","cimmyt",FALSE,TRUE
"Maize","Maize","g1",31.38,-7.65,"G","cimmyt_8539","cimmyt",FALSE,TRUE
"Maize","Maize","g1",31.219322,-8.239565,"G","cimmyt_8547","cimmyt",FALSE,TRUE
"Maize","Maize","g2",-12.73333333,15.78333333,"G","cimmyt_8750","cimmyt",FALSE,TRUE
"Maize","Maize","g3",11.78333333,0,"G","cimmyt_20653","cimmyt",FALSE,TRUE
"Maize","Maize","g4",7.4,2.616666667,"G","iita_1","iita",FALSE,TRUE
"Maize","Maize","g2",-7.5500002,31.233334,"G","iita_2","iita",FALSE,TRUE
"Maize","Maize","g2",-4.8166666,30.016666,"G","iita_3","iita",FALSE,TRUE
"Maize","Maize","g2",-8.333333,31.833334,"G","iita_4","iita",FALSE,TRUE
"Maize","Maize","g4",-9.5666666,33.900002,"G","iita_5","iita",FALSE,TRUE
"Maize","Maize","g2",-9.7666664,35.133335,"G","iita_6","iita",FALSE,TRUE
"Maize","Maize","g2",-8.8500004,34.049999,"G","iita_7","iita",FALSE,TRUE
"Maize","Maize","g2",-3.3833334,37.566666,"G","iita_8","iita",FALSE,TRUE
"Maize","Maize","g2",-8.4833336,32.5,"G","iita_11","iita",FALSE,TRUE
"Maize","Maize","g2",-8.8500004,34.583332,"G","iita_12","iita",FALSE,TRUE
"Maize","Maize","g2",-7.7333331,35.916668,"G","iita_13","iita",FALSE,TRUE
"Maize","Maize","g4",-8.333333,39.266666,"G","iita_14","iita",FALSE,TRUE
"Maize","Maize","g4",-5.1166668,38.833332,"G","iita_15","iita",FALSE,TRUE
"Maize","Maize","g2",-8.3500004,31.766666,"G","iita_16","iita",FALSE,TRUE
"Maize","Maize","g2",-8.9666662,32.916668,"G","iita_17","iita",FALSE,TRUE
"Maize","Maize","g2",-9.3166666,33.650002,"G","iita_18","iita",FALSE,TRUE
"Maize","Maize","g2",-8.8000002,33.700001,"G","iita_19","iita",FALSE,TRUE
"Maize","Maize","g2",-8.7333336,34.900002,"G","iita_20","iita",FALSE,TRUE
"Maize","Maize","g4",-7.3333335,37.116665,"G","iita_22","iita",FALSE,TRUE
"Maize","Maize","g2",-17.383333,32.283333,"G","iita_23","iita",FALSE,TRUE
"Maize","Maize","g2",-18.450001,30.883333,"G","iita_24","iita",FALSE,TRUE
"Maize","Maize","g4",6.933333333,1.683333333,"G","iita_25","iita",FALSE,TRUE
"Maize","Maize","g2",-8.916667,33.5,"G","iita_26","iita",FALSE,TRUE
"Maize","Maize","g2",-17.366667,31.049999,"G","iita_27","iita",FALSE,TRUE
"Maize","Maize","g2",-17.166666,32.383335,"G","iita_28","iita",FALSE,TRUE
"Maize","Maize","g2",-19.866667,20.216667,"G","iita_29","iita",FALSE,TRUE
"Maize","Maize","g4",7.083333333,2.566666667,"G","iita_30","iita",FALSE,TRUE
"Maize","Maize","g4",-6.0166669,38.299999,"G","iita_31","iita",FALSE,TRUE
"Maize","Maize","g4",-4.9333334,38.333332,"G","iita_32","iita",FALSE,TRUE
"Maize","Maize","g4",-2.6166666,32.716667,"G","iita_33","iita",FALSE,TRUE
"Maize","Maize","g2",-2.8833334,32.583332,"G","iita_34","iita",FALSE,TRUE
"Maize","Maize","g2",-2.9833333,32.049999,"G","iita_35","iita",FALSE,TRUE
"Maize","Maize","g2",-3.2333333,31.666666,"G","iita_36","iita",FALSE,TRUE
"Maize","Maize","g4",-9.4499998,33.683334,"G","iita_37","iita",FALSE,TRUE
"Maize","Maize","g2",-18.383333,32.466667,"G","iita_38","iita",FALSE,TRUE
"Maize","Maize","g3",10.8,2.1,"G","iita_39","iita",FALSE,TRUE
"Maize","Maize","g4",6.716666667,1.4,"G","iita_40","iita",FALSE,TRUE
"Maize","Maize","g4",-1.9,34.166668,"G","iita_41","iita",FALSE,TRUE
"Maize","Maize","g2",-4.6500001,30.1,"G","iita_42","iita",FALSE,TRUE
"Maize","Maize","g2",-18.566668,32.733334,"G","iita_43","iita",FALSE,TRUE
"Maize","Maize","g2",-17.616667,31.683332,"G","iita_44","iita",FALSE,TRUE
"Maize","Maize","g3",8.466666667,2.433333333,"G","iita_45","iita",FALSE,TRUE
"Maize","Maize","g4",7.033333333,1.766666667,"G","iita_46","iita",FALSE,TRUE
"Maize","Maize","g4",6.716666667,3.2166667,"G","iita_47","iita",FALSE,TRUE
"Maize","Maize","g4",7.216666667,2.633333333,"G","iita_50","iita",FALSE,TRUE
"Maize","Maize","g4",6.483333333,1.983333333,"G","iita_51","iita",FALSE,TRUE
"Maize","Maize","g4",-7.3333335,39.066666,"G","iita_52","iita",FALSE,TRUE
"Maize","Maize","g4",-8.75,39.299999,"G","iita_53","iita",FALSE,TRUE
"Maize","Maize","g2",-19.700001,32.700001,"G","iita_54","iita",FALSE,TRUE
"Maize","Maize","g4",7.783333333,2.3,"G","iita_55","iita",FALSE,TRUE
"Maize","Maize","g4",7.1,1.85,"G","iita_56","iita",FALSE,TRUE
"Maize","Maize","g2",-3.3333333,37.549999,"G","iita_57","iita",FALSE,TRUE
"Maize","Maize","g2",-2.9000001,32.283333,"G","iita_59","iita",FALSE,TRUE
"Maize","Maize","g3",10.25,1.983333333,"G","iita_60","iita",FALSE,TRUE
"Maize","Maize","g4",7.233333333,2.366666667,"G","iita_62","iita",FALSE,TRUE
"Maize","Maize","g4",6.983333333,2.616666667,"G","iita_63","iita",FALSE,TRUE
"Maize","Maize","g3",9.916666667,3.2,"G","iita_64","iita",FALSE,TRUE
"Maize","Maize","g3",10.03333333,2.35,"G","iita_67","iita",FALSE,TRUE
"Maize","Maize","g4",8.15,2.566666667,"G","iita_69","iita",FALSE,TRUE
"Maize","Maize","g4",6.933333333,1.883333333,"G","iita_70","iita",FALSE,TRUE
"Maize","Maize","g4",6.616666667,2.583333333,"G","iita_71","iita",FALSE,TRUE
"Maize","Maize","g2",-3.3,31.016666,"G","iita_72","iita",FALSE,TRUE
"Maize","Maize","g4",7.216666667,2.2,"G","iita_73","iita",FALSE,TRUE
"Maize","Maize","g2",-7.4499998,36.566666,"G","iita_75","iita",FALSE,TRUE
"Maize","Maize","g3",9.716666667,1.75,"G","iita_76","iita",FALSE,TRUE
"Maize","Maize","g4",8.016666667,2.15,"G","iita_77","iita",FALSE,TRUE
"Maize","Maize","g3",8.383333333,1.916666667,"G","iita_78","iita",FALSE,TRUE
"Maize","Maize","g3",10.78333333,2.683333333,"G","iita_79","iita",FALSE,TRUE
"Maize","Maize","g3",12.03333333,3.216666667,"G","iita_80","iita",FALSE,TRUE
"Maize","Maize","g4",6.95,1.716666667,"G","iita_81","iita",FALSE,TRUE
"Maize","Maize","g4",6.05,1.083333333,"G","iita_82","iita",FALSE,TRUE
"Maize","Maize","g4",6.566666667,2.583333333,"G","iita_83","iita",FALSE,TRUE
"Maize","Maize","g4",6.583333333,1.983333333,"G","iita_84","iita",FALSE,TRUE
"Maize","Maize","g4",3.3333,8.6667,"G","iita_85","iita",FALSE,TRUE
"Maize","Maize","g4",7.2,2.216666667,"G","iita_86","iita",FALSE,TRUE
