"Crop_Name","crop","ensemble","Latitude","Longitude","status","database_id","source_db","predictable","used"
"Pigeonpea","Pigeonpea","pigeonpea",19.39,83,"G","GNS_8240","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",25.2024,85.5062,"G","GNS_8241","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",18.67,83.95,"G","GNS_8242","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",15,75.23,"G","GNS_8243","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",12.71,77.23,"G","GNS_8244","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.8667,37.7667,"G","GNS_8247","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.8667,37.7667,"G","GNS_8248","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.75,37.7667,"G","GNS_8249","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.75,37.7667,"G","GNS_8250","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.8667,37.7333,"G","GNS_8251","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.8833,37.5833,"G","GNS_8252","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.8833,37.5833,"G","GNS_8253","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.8833,37.5833,"G","GNS_8254","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.8833,37.5833,"G","GNS_8255","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.83,37.75,"G","GNS_8256","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.85,37.6833,"G","GNS_8257","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.8667,37.7667,"G","GNS_8258","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.8333,37.7833,"G","GNS_8259","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",18.81,82.71,"G","GNS_8262","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",-16.89,37.81,"G","GNS_8264","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",27.58,81.6,"G","GNS_8265","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",10.77,76.65,"G","GNS_8266","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",-15.99,35.26,"G","GNS_8267","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",25.9,81.95,"G","GNS_8271","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.8333,37.7833,"G","GNS_8272","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.8333,37.7,"G","GNS_8273","genesys",FALSE,TRUE
"Pigeonpea","Pigeonpea","pigeonpea",6.8167,37.75,"G","GNS_8274","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.8167,37.75,"G","GNS_8275","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.8167,37.75,"G","GNS_8276","genesys",FALSE,FALSE
"Pigeonpea","Pigeonpea","pigeonpea",6.85,37.7833,"G","GNS_8277","genesys",FALSE,FALSE
