"Crop_Name","crop","ensemble","Latitude","Longitude","status","database_id","source_db","predictable","used"
"Sweet potato","Sweetpotato","Southern_lineage",-0.9375,-80.64583333,"G","CIP_1","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Northern_lineage",18.0147,-77.4833,"G","CIP_2","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Northern_lineage",18,-76.8478,"G","CIP_3","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Northern_lineage",18,-77,"G","CIP_4","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-25.3833,-57.15,"G","CIP_5","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-23.1666,-59.3166,"G","CIP_6","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-26.81,-56.9,"G","CIP_7","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-23.95,-55.03,"G","CIP_8","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Northern_lineage",18.049,-77.3666,"G","CIP_9","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-26.8166,-65.2166,"G","CIP_10","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-26.8166,-65.2166,"G","CIP_11","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-27.83,-63.66,"G","CIP_12","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-27.45,-58.6666,"G","CIP_13","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-27.45,-58.6666,"G","CIP_14","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-27.45,-58.6666,"G","CIP_15","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-28.3166,-55.7666,"G","CIP_16","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-28.3166,-55.7666,"G","CIP_17","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-27.5166,-58.5666,"G","CIP_18","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-28.1333,-58.7666,"G","CIP_19","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-28.1333,-58.7666,"G","CIP_20","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-27.1833,-55.4666,"G","CIP_21","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-27.3666,-58.3166,"G","CIP_22","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-27.3666,-58.3166,"G","CIP_23","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-26.83,-59.13,"G","CIP_24","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-26.83,-59.13,"G","CIP_25","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-33.3333,-68.0333,"G","CIP_26","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-26.8115,-65.2166,"G","CIP_27","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-26.8115,-65.2166,"G","CIP_28","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-26.8115,-65.2166,"G","CIP_29","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-16.7786,-68.7666,"G","CIP_30","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-17.2618,-67.3833,"G","CIP_31","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-17.2618,-67.3833,"G","CIP_32","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-16.9476,-67.9,"G","CIP_33","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-16.4204,-67.5166,"G","CIP_34","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-16.4204,-67.5166,"G","CIP_35","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-16.4204,-67.5166,"G","CIP_36","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-16.33,-67.5,"G","CIP_37","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-17.7261,-66.2333,"G","CIP_38","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-17.7261,-66.2333,"G","CIP_39","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-17.7261,-66.2333,"G","CIP_40","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-17.7261,-66.2333,"G","CIP_41","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.46,-67.43,"G","CIP_42","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.51,-67.45,"G","CIP_43","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.63,-67.58,"G","CIP_44","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-16.2109,-67.6833,"G","CIP_45","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-16.21,-67.6833,"G","CIP_46","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.66,-67.55,"G","CIP_47","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-22.1986,-64.6319,"G","CIP_48","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-22.1986,-64.6319,"G","CIP_49","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-22.534,-64.2826,"G","CIP_50","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-21.6631,-63.5798,"G","CIP_51","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-21.6631,-63.5798,"G","CIP_52","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-21.4652,-63.5152,"G","CIP_53","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-22.75,-64.25,"G","CIP_54","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-23.95,-55.03,"G","CIP_55","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.83,-52.66,"G","CIP_56","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.83,-52.66,"G","CIP_57","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.91,-52.75,"G","CIP_58","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.67,-54.3533,"G","CIP_59","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.67,-54.3533,"G","CIP_60","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.67,-54.3533,"G","CIP_61","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.58,-54.66,"G","CIP_62","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.58,-54.66,"G","CIP_63","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.58,-54.66,"G","CIP_64","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-16.0266,-57.2433,"G","CIP_65","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-16.0266,-57.2433,"G","CIP_66","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-16.0532,-57.6699,"G","CIP_67","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-16.0532,-57.6699,"G","CIP_68","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.83,-58.16,"G","CIP_69","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.83,-58.16,"G","CIP_70","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.75,-58.25,"G","CIP_71","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.66,-58.33,"G","CIP_72","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.66,-58.33,"G","CIP_73","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.1991,-59.3666,"G","CIP_74","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.16,-59.03,"G","CIP_75","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-10.16,-65.16,"G","CIP_76","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-10.9104,-65.3666,"G","CIP_77","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-10.75,-65.08,"G","CIP_78","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-11.3679,-65.3179,"G","CIP_79","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-10.7,-65.08,"G","CIP_80","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-10.7,-65.08,"G","CIP_81","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-10.73,-65.11,"G","CIP_82","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-10.73,-65.11,"G","CIP_83","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-10.75,-65.13,"G","CIP_84","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-10.75,-65.13,"G","CIP_85","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-9.08,-63.83,"G","CIP_86","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-8,-63.66,"G","CIP_87","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-7.8,-63.58,"G","CIP_88","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-7.5157,-63.0216,"G","CIP_89","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-7.5157,-63.0216,"G","CIP_90","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-7.5157,-63.0216,"G","CIP_91","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-7.5157,-63.0216,"G","CIP_92","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-3.83,-63.5,"G","CIP_93","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-3.8,-60.46,"G","CIP_94","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-3.1133,-60.0297,"G","CIP_95","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-3.1133,-60.0261,"G","CIP_96","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-3.1133,-60.0261,"G","CIP_97","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-2.91,-59.7,"G","CIP_98","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-3.1133,-60.0297,"G","CIP_99","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-2.91,-59.66,"G","CIP_100","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-3.1133,-60.027,"G","CIP_101","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-2.95,-59.33,"G","CIP_102","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-2.95,-59.33,"G","CIP_103","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-2.95,-59.33,"G","CIP_104","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-3.25,-60.2455,"G","CIP_105","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-3.2532,-60.2468,"G","CIP_106","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-3.2532,-60.2468,"G","CIP_107","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-3.2532,-60.2468,"G","CIP_108","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-15.21,-59.31,"G","CIP_109","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-15.21,-59.31,"G","CIP_110","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-13.5,-61.21,"G","CIP_111","cip",FALSE,TRUE
"Sweet potato","Sweetpotato","Southern_lineage",-13.5,-61.21,"G","CIP_112","cip",FALSE,FALSE
"Sweet potato","Sweetpotato","Southern_lineage",-9.3,-62.083,"G","CIP_113","cip",FALSE,TRUE
