"V1","V2","V3","V4"
"ACCESS-CM2","126","2041-2060","tmin"
"ACCESS-CM2","126","2041-2060","tmax"
"ACCESS-CM2","126","2041-2060","prec"
"ACCESS-CM2","126","2061-2080","tmin"
"ACCESS-CM2","126","2061-2080","tmax"
"ACCESS-CM2","126","2061-2080","prec"
"ACCESS-CM2","245","2041-2060","tmin"
"ACCESS-CM2","245","2041-2060","tmax"
"ACCESS-CM2","245","2041-2060","prec"
"ACCESS-CM2","245","2061-2080","tmin"
"ACCESS-CM2","245","2061-2080","tmax"
"ACCESS-CM2","245","2061-2080","prec"
"ACCESS-CM2","370","2041-2060","tmin"
"ACCESS-CM2","370","2041-2060","tmax"
"ACCESS-CM2","370","2041-2060","prec"
"ACCESS-CM2","370","2061-2080","tmin"
"ACCESS-CM2","370","2061-2080","tmax"
"ACCESS-CM2","370","2061-2080","prec"
"ACCESS-CM2","585","2041-2060","tmin"
"ACCESS-CM2","585","2041-2060","tmax"
"ACCESS-CM2","585","2041-2060","prec"
"ACCESS-CM2","585","2061-2080","tmin"
"ACCESS-CM2","585","2061-2080","tmax"
"ACCESS-CM2","585","2061-2080","prec"
"EC-Earth3-Veg","126","2041-2060","tmin"
"EC-Earth3-Veg","126","2041-2060","tmax"
"EC-Earth3-Veg","126","2041-2060","prec"
"EC-Earth3-Veg","126","2061-2080","tmin"
"EC-Earth3-Veg","126","2061-2080","tmax"
"EC-Earth3-Veg","126","2061-2080","prec"
"EC-Earth3-Veg","245","2041-2060","tmin"
"EC-Earth3-Veg","245","2041-2060","tmax"
"EC-Earth3-Veg","245","2041-2060","prec"
"EC-Earth3-Veg","245","2061-2080","tmin"
"EC-Earth3-Veg","245","2061-2080","tmax"
"EC-Earth3-Veg","245","2061-2080","prec"
"EC-Earth3-Veg","370","2041-2060","tmin"
"EC-Earth3-Veg","370","2041-2060","tmax"
"EC-Earth3-Veg","370","2041-2060","prec"
"EC-Earth3-Veg","370","2061-2080","tmin"
"EC-Earth3-Veg","370","2061-2080","tmax"
"EC-Earth3-Veg","370","2061-2080","prec"
"EC-Earth3-Veg","585","2041-2060","tmin"
"EC-Earth3-Veg","585","2041-2060","tmax"
"EC-Earth3-Veg","585","2041-2060","prec"
"EC-Earth3-Veg","585","2061-2080","tmin"
"EC-Earth3-Veg","585","2061-2080","tmax"
"EC-Earth3-Veg","585","2061-2080","prec"
"INM-CM5-0","126","2041-2060","tmin"
"INM-CM5-0","126","2041-2060","tmax"
"INM-CM5-0","126","2041-2060","prec"
"INM-CM5-0","126","2061-2080","tmin"
"INM-CM5-0","126","2061-2080","tmax"
"INM-CM5-0","126","2061-2080","prec"
"INM-CM5-0","245","2041-2060","tmin"
"INM-CM5-0","245","2041-2060","tmax"
"INM-CM5-0","245","2041-2060","prec"
"INM-CM5-0","245","2061-2080","tmin"
"INM-CM5-0","245","2061-2080","tmax"
"INM-CM5-0","245","2061-2080","prec"
"INM-CM5-0","370","2041-2060","tmin"
"INM-CM5-0","370","2041-2060","tmax"
"INM-CM5-0","370","2041-2060","prec"
"INM-CM5-0","370","2061-2080","tmin"
"INM-CM5-0","370","2061-2080","tmax"
"INM-CM5-0","370","2061-2080","prec"
"INM-CM5-0","585","2041-2060","tmin"
"INM-CM5-0","585","2041-2060","tmax"
"INM-CM5-0","585","2041-2060","prec"
"INM-CM5-0","585","2061-2080","tmin"
"INM-CM5-0","585","2061-2080","tmax"
"INM-CM5-0","585","2061-2080","prec"
"MPI-ESM1-2-HR","126","2041-2060","tmin"
"MPI-ESM1-2-HR","126","2041-2060","tmax"
"MPI-ESM1-2-HR","126","2041-2060","prec"
"MPI-ESM1-2-HR","126","2061-2080","tmin"
"MPI-ESM1-2-HR","126","2061-2080","tmax"
"MPI-ESM1-2-HR","126","2061-2080","prec"
"MPI-ESM1-2-HR","245","2041-2060","tmin"
"MPI-ESM1-2-HR","245","2041-2060","tmax"
"MPI-ESM1-2-HR","245","2041-2060","prec"
"MPI-ESM1-2-HR","245","2061-2080","tmin"
"MPI-ESM1-2-HR","245","2061-2080","tmax"
"MPI-ESM1-2-HR","245","2061-2080","prec"
"MPI-ESM1-2-HR","370","2041-2060","tmin"
"MPI-ESM1-2-HR","370","2041-2060","tmax"
"MPI-ESM1-2-HR","370","2041-2060","prec"
"MPI-ESM1-2-HR","370","2061-2080","tmin"
"MPI-ESM1-2-HR","370","2061-2080","tmax"
"MPI-ESM1-2-HR","370","2061-2080","prec"
"MPI-ESM1-2-HR","585","2041-2060","tmin"
"MPI-ESM1-2-HR","585","2041-2060","tmax"
"MPI-ESM1-2-HR","585","2041-2060","prec"
"MPI-ESM1-2-HR","585","2061-2080","tmin"
"MPI-ESM1-2-HR","585","2061-2080","tmax"
"MPI-ESM1-2-HR","585","2061-2080","prec"
"MRI-ESM2-0","126","2041-2060","tmin"
"MRI-ESM2-0","126","2041-2060","tmax"
"MRI-ESM2-0","126","2041-2060","prec"
"MRI-ESM2-0","126","2061-2080","tmin"
"MRI-ESM2-0","126","2061-2080","tmax"
"MRI-ESM2-0","126","2061-2080","prec"
"MRI-ESM2-0","245","2041-2060","tmin"
"MRI-ESM2-0","245","2041-2060","tmax"
"MRI-ESM2-0","245","2041-2060","prec"
"MRI-ESM2-0","245","2061-2080","tmin"
"MRI-ESM2-0","245","2061-2080","tmax"
"MRI-ESM2-0","245","2061-2080","prec"
"MRI-ESM2-0","370","2041-2060","tmin"
"MRI-ESM2-0","370","2041-2060","tmax"
"MRI-ESM2-0","370","2041-2060","prec"
"MRI-ESM2-0","370","2061-2080","tmin"
"MRI-ESM2-0","370","2061-2080","tmax"
"MRI-ESM2-0","370","2061-2080","prec"
"MRI-ESM2-0","585","2041-2060","tmin"
"MRI-ESM2-0","585","2041-2060","tmax"
"MRI-ESM2-0","585","2041-2060","prec"
"MRI-ESM2-0","585","2061-2080","tmin"
"MRI-ESM2-0","585","2061-2080","tmax"
"MRI-ESM2-0","585","2061-2080","prec"
